original_file_id,press_release_conclusion,press_release_strength,abstract_conclusion,abstract_strength,exaggeration_label
11-005,"Jamie Oliver’s back-to-basics approach to improving our diets works, according to a new study.",3,"MoF community-based cooking interventions can have significant positive effects on dietary behaviour, food choice and cooking confidence",2,exaggerates
25-090,"Drop level from 10 percent risk to 4 percent to extend lives of more women, say researchers",3,"Conclusions Premenopausal RRSO appears to be extremely cost-effective at ≥4% lifetime OC risk, with ≥42.7 days gain in life expectancy if compliance with hormone replacement therapy is high.",0,exaggerates
25-177,"Daily screen time of three or more hours is linked to several risk factors associated with the development of diabetes in children, finds research published online in the Archives of Disease in Childhood.",1,"Strong graded associations between screen time, adiposity and insulin resistance suggest that reducing screen time could facilitate early T2D prevention.",1,same
07-11-003-1,Scientists find key protein that suppresses prostate cancer growth in the laboratory,3,"Here we show that FUS has some characteristics of a putative tumor suppressor, as its overexpression promoted growth inhibition and apoptosis of prostate cancer cells, whereas its knockdown increased cell proliferation.",3,same
04-11-015-1,A combination of rare and common genetic variations could play a part in biological pathways linked to Attention Deficit Hyperactivity Disorder (ADHD).,2,Both common and rare genetic variants appear to be relevant to ADHD,1,exaggerates
20-11-014-1,Enzyme identified as possible reason for multiple miscarriage and infertility,2,"Thus, depending on the cellular compartment, deregulated SGK1 activity in cycling endometrium interferes with embryo implantation, leading to infertility, or predisposes to pregnancy complications by rendering the feto-maternal interface vulnerable to oxidative damage.",3,downplays
25-100,"Eating meat, drinking alcohol, marriage and under 7 hours sleep nightly all linked to greater risk",1,"This study estimated that the prevalence of overweight and obesity among adult residents of Jilin Province, northeast China, were high.",3,downplays
25-046,"And may contribute to antipsychotic drug treatment failure, suggest researchers",2,"This was linked to the prescription of several different antipsychotic drugs, indicating clinical judgement of antipsychotic treatment failure.",1,exaggerates
25-015,"The global toll taken by injuries on daily life has fallen by almost a third in the past quarter of a century, reveals research published online in the journal Injury Prevention.",0,Between 1990 and 2013 the global age-standardised injury DALY rate decreased by 31% (UI 26% to 35%).,0,same
05-11-037-1,Patients with life-threatening heart valve disease could be helped with alternative scanning techniques that provide greater insight into the condition.,3,"Positron emission tomography is a novel, feasible, and repeatable approach to the evaluation of valvular calcification and inflammation in patients with aortic stenosis.",3,same
26-018,"For the first time, scientists have shown that malaria-transmitting mosquitoes actively avoid feeding on certain animal species such as chickens, using their sense of smell. Odors emitted by species such as chickens could provide protection for humans at risk of mosquito-transmitted diseases, according to a study in the open access Malaria Journal.",2,Non-host volatiles repel host-seeking An.,3,downplays
12-11-017-1,"Do well at school to avoid heart disease later, research shows",3,"Men and women who leave school without any qualifications may be able to 'catch up' to some extent with more qualified people in terms of lowered CHD risk, if they obtain qualifications later on in life.",3,same
01-11-001-1,He continued: ‘We are endowed with a wonderful cognitive tool - hand gesture - that helps us to visualise objects from different angles.,3,We concluded that gestures enhance performance on spatial visualization tasks by improving the internal computation of spatial transformations.,3,same
25-094,"Home cooked meals specifically designed for infants and young children, are not always better than commercially available baby foods, suggests research published online in the Archives of Disease in Childhood.",1,The majority of commercial meals provided an energy-dense meal with greater vegetable variety per meal to their home-cooked counterparts.,1,same
01-11-013-1,"A simple test to measure blood oxygen in newborns has been shown to identify babies with life-threatening congenital heart defects, a major cause of infant mortality in the developed world, according to researchers from the University of Birmingham and Birmingham Women’s Hospital.",3,It identifies cases of critical congenital heart defects that go undetected with antenatal ultrasonography.,3,same
25-025,"Almost three quarters of the weekend emergency care caseload is linked to excess alcohol intake, finds an activity analysis of one large inner city hospital in England, and published online in Emergency Medicine Journal.",1,"The prevalence rates of alcohol related attendances were 12% and 15% for the retrospective and prospective cohorts, respectively.",0,exaggerates
07-11-016-1,C. difficile increases risk of death sixfold in patients with inflammatory bowel disease,3,Patients with inflammatory bowel disease admitted to NHS hospitals in England with co-existent C. difficile infection are at risk of greater in-hospital mortality and morbidity than patients admitted for inflammatory bowel disease alone.,3,same
26-027,"Women with lower levels of education and living in more deprived areas of the UK are at greater risk of coronary heart disease, and this is largely due to smoking, obesity and physical inactivity, according to a study of over a million women published in the open access journal BMC Medicine.",3,"Most of the association between CHD risk and education and area deprivation in UK women is accounted for by health-related behaviours, particularly by smoking and to a lesser extent by alcohol consumption, physical inactivity and BMI.",1,exaggerates
19-11-002-1,"Increases in winter indoor temperatures in the United Kingdom, United States and other developed countries may be contributing to rises in obesity in those populations, according to UCL research published today.",2,"Reduced exposure to seasonal cold may have a dual effect on energy expenditure, both minimizing the need for physiological thermogenesis and reducing thermogenic capacity.",2,same
03-11-019-1,Abnormal brain structure linked to chronic cocaine abuse,1,Greater impairment of attentional control was associated with reduced volume in insular cortex and increased volume of caudate nucleus.,1,same
22-023,"Many pain-sensing nerves in the body are thought to respond to all types of ‘painful events’, but new UCL research in mice reveals that in fact most are specialised to respond to specific types such as heat, cold or mechanical pain.",0,"After intraplantar treatment with prostaglandin E2, neurons in vivo respond more intensely to noxious thermal and mechanical stimuli, and additional neurons (silent nociceptors) are unmasked.",1,downplays
07-11-021-1,‘Smart materials’ that make proteins form crystals to boost research into new drugs,3,"We have shown that six different MIPs induced crystallization of nine proteins, yielding crystals in conditions that do not give crystals otherwise.",3,same
25-037,Higher nurse to patient ratio linked to reduced risk of inpatient death,1,Ward-based RN staffing is significantly associated with reduced mortality for medical patients.,1,same
25-013,Study finds no clear evidence of a downward trend in neural tube defects over 20 year period,0,"Prevalence of NTD fluctuated slightly but without an obvious downward trend, with the final estimate of the pooled total prevalence of NTD in 2011 similar to that in 1991.",0,same
14-11-030-1,"A combined approach of offering education, free or low-cost equipment and a home safety inspection is likely to have the most impact, the study by a research team involving academics from the Universities of Leicester, York and Nottingham has discovered.",1,"The intervention containing all of the aforementioned components was identified as being the most likely to be the most effective (probability (best) ¼ 0.66), with an odds ratio versus usual care of 7.15 (95% credible interval: 2.40, 22.73); 2) type of battery-powered alarms: ionization alarms with lithium batteries were most likely to be the best type for increasing functioning possession (probability (best) ¼ 0.69).",1,same
02-11-051-1,"Parents of some obese children could save up to £6.58 each week by changing their shopping habits and opting for a healthier diet, according to research published in the latest issue of the British Journal of General Practice.",2,"For many obese children, eating healthily would not necessarily incur prohibitive, additional financial cost, although a poor diet at a budget supermarket remains the cheapest of all options.",1,exaggerates
04-11-001-1,A leading UK scientist’s search for factors that increase the risk of developing Alzheimer’s has uncovered five new genes to help pinpoint what’s going wrong in the brain.,1,Three SNPs at two loci replicated and showed evidence for association in a further sample (stage 3).,1,same
11-008,Inhibiting RAD51 helped increase the effectiveness of radiotherapy in killing off glioblastoma cells,3,"In GSCs, the small-molecule RAD51 inhibitors RI-1 and B02 prevent RAD51 focus formation, reduce DNA DSB repair, and cause significant radiosensitization.",3,same
25-201,Fibre-rich diet linked to lowered risk of painful knee osteoarthritis,1,"Findings from two longitudinal studies consistently showed that higher total fibre intake was related to a lower risk of SxOA, while the relation to ROA was unclear.",1,same
05-11-012-1,Scientists have pinpointed a gene that controls how quickly a person’s nerves can regenerate after injury or disease.,3,"Taken together, these findings have identified isoform-specific roles for apoE in determining the protein composition of peripheral nerve as well as regulating nerve regeneration pathways in vivo.",3,same
25-022,Certain antidepressants linked to heightened risk of mania and bipolar disorder,1,Prior antidepressant treatment was associated with an increased incidence of mania/bipolar disorder ranging from 13.1 to 19.1 per 1000 person-years.,1,same
06-11-002-1,"[February 2011]. Researchers at the University of Glasgow and University College London (UCL) have, for the first time, enhanced visual perception through rhythmic transcranial magnetic stimulation (rTMS) of the brain.",3,"Here we show via transcranial magnetic stimulation (TMS) interventions that short rhythmic bursts of right-parietal TMS at theta or beta frequency can causally benefit processing of global or local levels, respectively, for hierarchical visual stimuli, especially in the context of salient incongruent distractors.",2,exaggerates
25-009,"Pedestrian wheelchair users in the US are a third more likely to be killed in road traffic collisions than the general public, finds research published in the online journal BMJ Open.",1,Men9s risk was over fivefold higher than women9s risk (p Conclusions Persons who use wheelchairs experience substantial pedestrian mortality disparities calling for behavioural and built environment interventions.,0,exaggerates
25-176,"A new model of healthcare that focuses on a stronger role for nurses in primary care has been associated with a higher uptake of insulin treatment among patients with type 2 diabetes, reports a study published in The BMJ today.",1,"The Stepping Up model of care was associated with increased insulin initiation rates in primary care, and improvements in glycated haemoglobin without worsening emotional wellbeing.",1,same
29-019,"People who have their stomach size surgically reduced move around more and easier after weight loss surgery, a study has found.",3,"Similarly, analysis of five studies demonstrated increased musculoskeletal function at 3-6 months (SMD: 1.51; 95% CI: 0.60-2.42).",3,same
26-013,"Infertility and hormonal fertility treatments may influence the amount of dense tissue in the breast, a risk factor for breast cancer, according to a study involving 43,313 women, published in the open access journal Breast Cancer Research.",2,"The higher absolute dense volume in women treated with COS may indicate a treatment effect, although part of the association might also be due to the underlying infertility.",2,same
15-11-002-1,"Changes in the environment that put the lives of adults at risk drive parents to invest more in caring for their offspring, scientists have found.",3,"In general, we find that environmental variability, the life-history traits affected by such variability and the specific costs of care interact to determine whether care will be favoured in a variable environment and what levels of care will be selected.",3,same
25-178,"Physical activity levels may start tailing off as early as the age of 7, rather than during adolescence as is widely believed, reveals a long term study of British children, published online in the British Journal of Sports Medicine.",0,"There was no evidence that physical activity decline began at adolescence, or that adolescent declines in physical activity were substantially greater than the declines during childhood, or greater in girls than boys.",0,same
29-028,University of Leicester study suggests people can reduce chances of getting Type 2 diabetes by completing new education programme,2,"This study suggests that being retained/engaged in a relatively low-resource, pragmatic diabetes prevention programme for those at high risk is associated with reductions in the progression to T2DM in comparison to those who receive standard care.",1,exaggerates
25-017,"The available evidence suggests no difference in treatment effects of second generation antidepressants and cognitive behavioral therapy (CBT) either alone or in combination, for patients with major depressive disorder, finds a study in The BMJ today.",0,"Meta-analyses found no statistically significant difference in effectiveness between second generation antidepressants and CBT for response (risk ratio 0.91, 0.77 to 1.07), remission (0.98, 0.73 to 1.32), or change in 17 item Hamilton Rating Scale for Depression score (weighted mean difference, −0.38, −2.87 to 2.10).",0,same
25-190,Women less likely than men to get appointment within 48 hours; clinics in England show worst decline,1,Access to GUM services has worsened for those with symptoms suggestive of an acute STI and is significantly poorer for asymptomatic women.,1,same
08-11-004-1,"Two effective treatments benefit up to 60 per cent of patients with Chronic Fatigue Syndrome or Myalgic Encephalomyelitis (CFS/ME), according to a collaborative trial by King’s College London and colleagues from Queen Mary, University London, and the University of Edinburgh, published in The Lancet today.",3,"CBT and GET can safely be added to SMC to moderately improve outcomes for chronic fatigue syndrome, but APT is not an effective addition.",3,same
29-030,"University of Leicester scientists have previously identified the potential of using a bacteriophage cocktail to eradicate Clostridium difficile infection (CDI) and in this research, using an insect model, they show that their prophylactic use can prevent infection forming in the first place.",2,"Taken together, our data suggest that the phages significantly reduce C. difficile biofilms, and prevent colonization in the G. mellonella model when used alone or in combination with vancomycin.",3,downplays
26-039,"A study of nearly 280,000 women in the United States has found that living in areas with a high level of fine particles from air pollution may increase a woman’s chance of having dense breasts – a well-established risk factor for breast cancer – according to a new study published in the open access journal Breast Cancer Research.",2,Exposure to PM2.5 and O3 may in part explain geographical variation in mammographic density.,2,same
15-11-007-1,"People will suffer more pain for their close friends than for their acquaintances and sometimes more than they would for themselves, an Oxford University scientist has found.",1,Cost endured was positively correlated with the strength of the social tie between donor and recipient.,1,same
07-11-029-1,"Statins reduce deaths from infection and respiratory illness, eight years on from trial",3,Legacy effects of those originally assigned atorvastatin may contribute to long-term benefits on all-cause mortality.,2,exaggerates
20-11-018-1,"This research, led by Professor Victor Zammit, Head of Metabolic and Vascular Health at Warwick Medical School, found that the enzyme known as ‘Carnitine palmitoyltransferase 1A’ (CPT1) has a switch which is thrown depending on the composition and curvature of its cellular membrane.",3,"Based on the amphiphilic nature of N and molecular modeling, we propose malonyl-CoA sensitivity to be coupled to the properties of the OMM by Nα-OMM associations that alter the Nα/Nβ ratio.",1,exaggerates
14-11-002-1,Faulty 'off-switch' stops children with ADHD from concentrating,3,"During an inhibitory control task, children with ADHD exhibit a raised motivational threshold at which task-relevant stimuli become sufficiently salient to deactivate the DMN.",1,exaggerates
26-015,"There is little evidence to support any consistent effect of probiotics on the gut microbiota of healthy individuals, according to a systematic review published in the open access journal Genome Medicine. The World Health Organization defines probiotics as live microorganisms which confer a health benefit to the host if administered in adequate amounts and probiotics products are often marketed toward the general population. However, evidence for their effects on bacteria living in the guts of healthy adults remains elusive.",0,This systematic review of the pertinent literature demonstrates a lack of evidence for an impact of probiotics on fecal microbiota composition in healthy adults.,0,same
15-11-016-1,"Women with straightforward pregnancies can choose whether they’d like to give birth in a hospital obstetric unit, a midwifery unit or at home, knowing that giving birth is generally very safe.",0,"Overall, there were no significant differences in the adjusted odds of the primary outcome for any of the non-obstetric unit settings compared with obstetric units.",0,same
07-11-002-1,"Obesity has doubled since 1980, major global analysis of risk factors reveals",1,"Globally, mean BMI has increased since 1980.",1,same
02-11-006-1,"Boys and girls who take part in physical activity with their best friend in the neighbourhood where they live have higher levels of physical activity, new research has found.  With many children not doing enough physical activity the findings could help with the UK’s current health care concerns.",3,Boys and girls who take part in physical activity with their best friend at home or in the neighborhood where they live engage in higher levels of physical activity.,3,same
01-11-011-1,"Premature babies risk mental health problems, say experts",3,"The risk of these outcomes was increased for PT/LBW individuals compared with controls [any diagnosis: odds ratio (OR) 3.66, 95% confidence interval (CI) 2.57–5.21; anxiety or depressive disorder: OR 2.86, 95% CI 1.73–4.73].",1,exaggerates
22-021,"Body clock function can break down when light and temperature levels throughout the day are out of sync, finds new UCL research in fruit flies.",2,The behavioral disruption depends heavily on the phase relationship between light and temperature signals.,3,downplays
06-11-009-1,A new study by scientists has revealed that time spent sitting down is a diabetes risk factor in South Asians independent of how much they exercise.,1,"These data highlight an important relationship between sitting time and 2-h glucose levels in U.K. South Asians, independent of physical activity and waist circumference.",1,same
05-11-002-1,Bird flu epidemics could be prevented by a new strain of chickens that do not spread avian flu to other birds.,2,"Although the transgenic birds succumbed to the initial experimental challenge, onward transmission to both transgenic and nontransgenic birds was prevented.",3,downplays
32-003,Kent researchers have identified how few mutations it can take for Ebolaviruses to adapt to affect previously resistant species.,2,"Hence, there is evidence that few mutations including crucial mutations in VP24 enable Ebola virus adaptation to new hosts.",3,downplays
13-11-013-1,Fewer mental illness beds linked with increase in involuntary hospital detentions,1,"The annual reduction in provision of mental illness beds was associated with the rate of involuntary admissions over the short to medium term, with the closure of two mental illness beds leading to one additional involuntary admission in the subsequent year.",1,same
04-11-007-1,"Sharing anonymised hospital data prevents violence, Cardiff study shows",3,This intervention led to a significant reduction in violent injury and was associated with an increase in police recording of minor assaults in Cardiff compared with similar cities in England and Wales where this intervention was not implemented.,3,same
25-187,"Every £1.00 spent on public health returns an extra £14 on the original investment, on average—and in some cases, significantly more than that—concludes a systematic review of the available evidence, published online in the Journal of Epidemiology & Community Health.",3,This systematic review suggests that local and national public health interventions are highly cost-saving.,3,same
29-015,An international team of researchers from the Universities of Leicester and Naples has examined the role of a receptor in the body that could help to prevent or reduce the effects of asthma attacks.,2,We demonstrated a novel dual airway immunomodulator/bronchodilator role for N/OFQ and suggest targeting this system as an innovative treatment for asthma.,3,downplays
25-044,"Paid parental leave is linked to a lower rate of kids' admission to hospital for head injury, finds research published in the journal Injury Prevention.",1,"Compared with seven states with no PFL policies, California's 2004 PFL showed a significant decrease in AHT admissions in both <1 and <2-year-olds.",1,same
07-11-030-1,‘Gene overdose’ causes extreme thinness,3,The phenotypes correlate with changes in transcript levels for genes mapping within the duplication but not in flanking regions.,1,exaggerates
09-11-001-1,"Errors are common when care home staff help older people to use medical inhalers, research from the University of Leeds has shown.",1,Inhalers and liquid medicines were associated with significantly increased odds of administration errors.,1,same
26-004,"Breast cancer survivors treated with chemotherapy could be lacking sufficient antibodies to protect against common illnesses, as chemotherapy reduces the body's immune response, according to research published in the open access journal Breast Cancer Research. This work raises the possibility that these survivors could benefit from additional post-treatment monitoring. Further work is required to assess if revaccination would be beneficial.",3,Breast cancer chemotherapy is associated with long-term changes in immune parameters that should be considered during clinical management.,1,exaggerates
04-022,"Researchers from the University of California (UCLA) and Cardiff University have made a breakthrough in the understanding of AIDS-related dementia, discovering the role of a neuron protein which was also found to affect learning abilities in healthy subjects.",3,"Overall, our results demonstrate that CCR5 plays an important role in neuroplasticity, learning and memory, and indicate that CCR5 has a role in the cognitive deficits caused by HIV.",3,same
09-11-015-1,"Research shows infection by the brain parasite Toxoplasma gondii, found in 10-20 per cent of the UK’s population, directly affects the production of dopamine, a key chemical messenger in the brain.",3,"In this study, infection of mammalian dopaminergic cells with T. gondii enhanced the levels of K+-induced release of dopamine several-fold, with a direct correlation between the number of infected cells and the quantity of dopamine released.",3,same
09-11-005-1,"The study by Dr Stephen Griffin and colleagues, published in the journal Hepatology, reveals how two prototype small molecule drugs, known as p7 inhibitors, can each attack different parts of the hepatitis C virus.",2,The hepatitis C virus (HCV) p7 ion channel plays a critical role during infectious virus production and represents an important new therapeutic target.,3,downplays
25-104,Air pollution may shorten survival of patients with lung cancer,2,These epidemiological findings support the hypothesis that air pollution exposures after lung cancer diagnosis shorten survival.,3,downplays
25-202,"Reduces pain, improves function, and is safe; prescribe it for long term treatment, say researchers",3,A 800 mg/day pharmaceutical-grade CS is superior to placebo and similar to celecoxib in reducing pain and improving function over 6 months in symptomatic knee osteoarthritis (OA) patients.,3,same
25-152,"Four or more weekly servings seem to have greatest impact, findings suggest",2,"Higher cured meat intake was associated with worsening asthma symptoms over time, through a direct effect and to a lesser extent an effect mediated by BMI.",3,downplays
03-11-043-1,A new study shows that children as young as three or four years old can talk informatively and accurately about experiences – including incidents of abuse – if they are interviewed by specialists who understand children’s strengths and weaknesses.,2,"The findings suggest that even 3-year-olds can provide information about experienced events when recall processes are activated, although the ability to provide narrative responses to open-ended recall prompts only becomes reliable later in development.",2,same
25-030,"Occupational exposure to textile dust is associated with a more than doubling in the risk of developing rheumatoid arthritis, finds research published online in the Annals of the Rheumatic Diseases.",1,This is the first study demonstrating that textile dust exposure is associated with an increased risk for RA.,1,same
13-11-016-1,Aspirin cuts cancer rates in people with hereditary risk by more than half,3,600 mg aspirin per day for a mean of 25 months substantially reduced cancer incidence after 55·7 months in carriers of hereditary colorectal cancer.,3,same
29-040,Researchers from the University of Leicester have for the first time discovered that bacteria that cause respiratory infections are directly affected by air pollution - increasing the potential for infection and changing the effectiveness of antibiotic treatment.,3,Therefore our study highlights that air pollution has a significant effect on bacteria that has been largely overlooked.,3,same
07-11-038-1,"Scientists have discovered an enzyme that acts as a ‘fertility switch’, in a study published in Nature Medicine today.",3,"Thus, depending on the cellular compartment, deregulated SGK1 activity in cycling endometrium interferes with embryo implantation, leading to infertility, or predisposes to pregnancy complications by rendering the feto-maternal interface vulnerable to oxidative damage.",3,same
25-111,"UK deaths from heart disease and stroke have plummeted by almost 70% over the past 30 years, but these improvements have not been equally distributed among all four countries, or between men and women, finds an analysis of the available data, published online in the journal Heart.",1,"This review highlights that improvements in the burden of CVD have not occurred equally between the four constituent countries of the UK, or between men and women.",1,same
25-018,Flu vaccine unlikely to trigger reaction in children with egg allergy and asthma,0,No systemic allergic reactions occurred (upper 95% confidence interval for population 0.47% and in participants with anaphylaxis to egg 1.36%).,0,same
25-184,A more nuanced approach to role of alcohol in heart health is needed,3,"To investigate the association between alcohol consumption and cardiovascular disease at higher resolution by examining the initial lifetime presentation of 12 cardiac, cerebrovascular, abdominal, or peripheral vascular diseases among five categories of consumption.",1,exaggerates
29-031,A new study led by the University of Leicester to understand how to improve the health of severe asthma patients has made a breakthrough finding.,0,PP5-dependent impairment of GRα function represents a novel mechanism driving GC insensitivity in ASM in severe asthma.,3,downplays
09-11-007-1,"University of Leeds researchers have used next-generation DNA sequencing techniques to discover what causes a rare form of inherited eye disorders, including cataracts and glaucoma, in young children.",3,"Our findings imply that peroxidasin is essential for normal development of the anterior chamber of the eye, where it may have a structural role in supporting cornea and lens architecture as well as an enzymatic role as an antioxidant enzyme in protecting the lens, trabecular meshwork, and cornea against oxidative damage.",3,same
15-11-008-1,A new way of examining networks is revealing how different areas of the brain team up to help people learn.,3,"Our results indicate that flexibility, which we measure by the allegiance of nodes to modules, in one experimental session predicts the relative amount of learning in a future session.",1,exaggerates
03-11-008-1,Scientists have identified a diabetes drug which halves the mortality rate of a deadly infectious disease found throughout Southeast Asia and Northern Australia.,3,"Survival was greater in diabetics than in nondiabetics (38% vs 45%, respectively, P = .04), but the survival benefit was confined to the patient group taking glyburide (adjusted odds ratio .47, 95% confidence interval .28–.74, P = .005).",3,same
29-022,"New knowledge about the mechanism of specific protein complexes in the body could help in the development of better drugs for the treatment of diseases such as cancer and Alzheimer’s, according to research led by the University of Leicester.",0,"The crystal structure of the HDAC1:MTA1 complex bound to a novel peptide-based inhibitor and to inositol hexaphosphate suggests a molecular basis of substrate recognition, and an entropically driven allosteric mechanism of activation.",0,same
05-11-004-1,Language learning influenced by genes,3,"These results provide strong support for ROBO1 as a gene involved in a core trait underpinning language acquisition, with a specific function in supporting a short-term buffer for arbitrary phonological strings.",3,same
06-11-006-1,Middle aged diabetes patients can die six years earlier,2,"In addition to vascular disease, diabetes is associated with substantial premature death from several cancers, infectious diseases, external causes, intentional self-harm, and degenerative disorders, independent of several major risk factors.",1,exaggerates
25-068,"The number of hospital cases of self-inflicted harm, such as cutting and overdosing on prescription meds, has risen steadily since 2008 in England among men, reveals research published in the online journal BMJ Open.",0,"Trends in rates of self-harm and suicide may be closely related; therefore, self-harm can be a useful mental health indicator.",1,downplays
02-11-002-1,Processed food diet in early childhood diet may lower subsequent IQ,2,"There is evidence that a poor diet associated with high fat, sugar and processed food content in early childhood may be associated with small reductions in IQ in later childhood, while a healthy diet, associated with high intakes of nutrient rich foods described at about the time of IQ assessment may be associated with small increases in IQ.",1,exaggerates
25-185,"Giving corticosteroid drugs to mothers at risk of preterm delivery - from as early as 23 weeks of pregnancy - is associated with a lower rate of death and serious illness for their babies, finds a study published by The BMJ today.",1,"Among infants born from 23 to 34 weeks' gestation, antenatal exposure to corticosteroids compared with no exposure was associated with lower mortality and morbidity at most gestations.",1,same
10-11-005-1,"Scientists at the University have found that eye movement patterns of Chinese people, born and raised in China, are different to those of Caucasian people living in Britain.",1,"This pattern of response had been reported to be very uncommon in healthy, naive subjects.",1,same
26-023,"Revision of standards is needed to test sunglasses quality and establish safe limits for the lenses' UV filters, according to research published in the open access journal Biomedical Engineering OnLine.",0,We provide evidence of the need to re-evaluate the parameters of the tests to establish appropriate safe limits for UV irradiance.,0,same
14-11-011-1,"The team of immunologists led by Drs Ghaem-Maghami and Martinez-Pomares in the University’s School of Molecular Medical Sciences, and funded by the charity Asthma UK, have identified a cell component which plays a key role in triggering allergic responses to cat dander.",3,Our data show for the first time that Fel d 1 is a novel ligand of the cysteine-rich domain of MR and that MR is likely to play a pivotal role in allergic sensitization to airborne allergens in vivo.,2,exaggerates
15-11-005-1,"The judgements we make about the intimacy of other couples’ relationships are influenced by the brain chemical serotonin, an Oxford University study has found.",3,"Our results suggest that central serotonin activity influences the appraisal of close intimate partnerships, raising the possibility that serotonergic dysfunction contributes to altered cognitions about relationships in psychiatric illnesses.",3,same
32-002,A team led by researchers at the University has identified bacterial infection as a possible cause of Overactive Bladder Syndrome (OAB).,2,"These data suggest that increased ATP release from the urothelium, involving bacterial colonization, may play a role in the heightened symptoms associated with pyuric OAB patients.",2,same
08-11-021-1,An early study in mice has shown that leukaemic stem cells can be abolished by suppressing two proteins found in the body.,2,"Together, these results reveal an important functional interplay between MLL/Hox and Bmi1 in regulating cellular senescence for LSC development, suggesting that a synergistic targeting of both molecules is required to eradicate a broader spectrum of LSCs.",3,downplays
25-121,"People with one of the genetic profiles associated with increased body weight (known as the FTO gene) respond equally well to diet, exercise, and drug based weight loss interventions as the rest of the population, concludes a study in The BMJ today.",0,We have observed that carriage of the FTO minor allele was not associated with differential change in adiposity after weight loss interventions.,0,same
13-11-019-1,"An individual’s social norms in terms of what they consider acceptable weight are formed during childhood, and are not highly influenced by our later social networks according to the study published online this week in Obesity.",1,The findings indicate that time constant factors explain some of the overall correlation in sibling BMI for both cohorts of siblings.,1,same
25-132,"Cutting exposure to common environmental synthetic chemicals by 25 per cent might ward off more than 150,000 cases of diabetes in Europe and save €4.5 billion every year, suggest estimates published online in the Journal of Epidemiology & Community Health.",2,"Results Reduction of chemical exposures was associated with a 13% (95% CI 2% to 22%) reduction in prevalent diabetes, compared with 40% resulting from an identical (25%) reduction in body mass index (BMI) in cross-sectional analyses.",1,exaggerates
25-160,"However, treatment was also linked with an increased risk of complications such as preterm delivery, gestational diabetes, and pre-eclampsia.",1,"Thyroid hormone treatment was associated with decreased risk of pregnancy loss among women with subclinical hypothyroidism, especially those with pre-treatment TSH concentrations of 4.1-10 mIU/L.",1,same
26-021,"People who have recently begun an attempt to quit smoking tobacco are more likely to try to drink less alcohol than other smokers, according to research published in the open access journal BMC Public Health.",1,"Smokers who report starting a quit attempt in the last week also report lower alcohol consumption, including less frequent binge drinking, and appear more likely to report currently attempting to reduce their alcohol consumption compared with smokers who do not report a quit attempt in the last week.",1,same
15-11-003-1,"In contrast, positive expectations of treatment doubled the natural physiological or biochemical effect of the opioid drug among the healthy volunteers in the study.",3,"On the basis of subjective and objective evidence, we contend that an individual's expectation of a drug's effect critically influences its therapeutic efficacy and that regulatory brain mechanisms differ as a function of expectancy.",3,same
25-159,Study adds to evidence that psychological distress could predict certain physical conditions,1,"This study contributes to the growing evidence that psychological distress might have some predictive capacity for selected cancer presentations, in addition to other somatic diseases.",1,same
11-007,"Bowel cancer patients are more likely to survive if treated in hospitals where lots of clinical research is taking place - even if they themselves are not involved in trials, a study has found.",1,There is a strong independent association between survival and participation in interventional clinical studies for all patients with CRC treated in the hospital study participants.,1,same
04-002,New ‘homing’ treatment could aid recovery for brain damaged patients,2,"In experimental TBI, CD59-2a-CRIg administered posttrauma homed to sites of injury and significantly reduced MAC deposition, microglial accumulation, mitochondrial stress, and axonal damage and enhanced neurologic recovery compared with placebo controls.",3,downplays
04-11-003-1,A Cardiff University-led study has discovered that a protein provides protection against the effects of alcohol in the pancreas.,3,Calmodulin protects by reducing calcium release sensitivity.,3,same
29-014,"The number of older people in England living with more than one chronic condition could have risen by ten per cent in the last decade putting increasing pressure on the NHS, new research has suggested.",0,"In contrast, the prevalence of multimorbidity steadily increased over time (31.7 % in 2002/2003 vs. 43.1 % in 2012/2013).",0,same
02-11-017-1,Even mild stress is linked to long-term disability,2,Mild psychological distress may be associated with more long-term disability than previously acknowledged and its public health importance may be underestimated.,1,exaggerates
25-166,Study reports that vitamin D supplements reduce risk of acute respiratory infections,3,Vitamin D supplementation was safe and it protected against acute respiratory tract infection overall.,3,same
25-183,"Rising temperatures across the world may be playing a part in the growing numbers of people developing diabetes, suggests research published online in the journal BMJ Open Diabetes Research & Care.",2,Our findings indicate that the diabetes incidence rate in the USA and prevalence of glucose intolerance worldwide increase with higher outdoor temperature.,1,exaggerates
26-040,"The number of people requiring palliative care over the next 25 years is likely to increase substantially, requiring a shift in healthcare priorities in England and Wales, according to new research published in the open access journal BMC Medicine.",0,"If recent mortality trends continue, 160,000 more people in England and Wales will need palliative care by 2040.",0,same
04-11-011-1,"Genetic mutations that cause schizophrenia could be linked to systems in the brain responsible for learning and memory, a study suggests.",3,"Our data indicate that defects in NMDAR postsynaptic signalling and, possibly, ARC complexes, which are known to be important in synaptic plasticity and cognition, play a significant role in the pathogenesis of schizophrenia.",1,exaggerates
25-077,Parents in Northern India favour boys over girls when it comes to making sure that their children's heart problems are corrected--even when treatment is provided completely free of charge--reveals research published in the online journal Heart Asia.,1,Significant gender discrepancies exist in healthcare-seeking behaviour of patients in North India despite the provision of free cardiac treatment.,1,same
