Titulo,Subtitulo,Noticia,Categoria,Data,Autor,URL
"Decisão de excluir Brasil do ""clube dos ricos"" não tem elo com a corrupção  ",,publicação facebook viralizou afirmar o real motivar adiamento entrar brasil ocde o decisão comissão antissuborno organização o cooperação e desenvolvimento econômico ocde enviar missão o o brasil acompanhar retrocesso combater corrupção foto publicação o presidente supremo tribunal federal stf dia toffoli o frase parabém toffoli brasil ficar ocde retrocesso combater corrupção fato entanto relacionar o cartar o governar unir o ingressar argentino e romênia — motivar o entendimento o entrar brasil ocde ocorrer — dia agostar vir o público outubro,brasil,17/10/2019 16h15 ,17/10/2019 16h15 ,https://noticias.uol.com.br/comprova/ultimas-noticias/2019/10/17/atraso-da-entrada-do-brasil-na-ocde-retrocessos-no-combate-a-corrupcao.htm
"

PUC está com inscrições abertas para quem está com sequelas respiratórias da Covid-19 #boato 
",Boato – A Fisioterapia da PUC abriu inscrições para um projeto que vai tratar pessoas que estão com sequelas respiratórias decorrentes da Covid-19. É só preencher um formulário.,o puc inscrição aberto pessoa sequela respiratório decorrente covid online e gratuito seguir o link id azkyjn2iakoec8mc61vpnbfg0segzgfkrxhxxehxsu9uqtc5szkwretsmfhcnzvgt1kyou0wvuzhni4u bacana atitude fisioterapia puc compartilhar alguém precisar encerrar inscrição o programar fisioterapia respiratório pessoa sequela covid-19 – puc-sp o atividade gratuito e online orientar e supervisionar prof renata escorcio e preceptor estágio hospitalar marcelo pierrotti e aplicar estudante 5º ano graduação fisioterapia puc-sp,saúde,19/04/2021,"
Edgard Matsuki ",https://www.boatos.org/saude/puc-com-inscricoes-abertas-sequelas-respiratorias-covid-19.html
"

Meteoro pode atingir a Terra e destruir a vida humana em outubro de 2019 #boato 
",Boato – Nasa afirma que meteoro FT3 se chocará com a Terra e pode acabar com a vida humana em outubro de 2019. ,atualmente profecia catástrofe natural e desastre caminhar direção o terra surgir frequência profeta recentemente andar circular rede social e congregação o profecia catástrofe natural o mundial direito o terremoto e enchente região planeta especulação cristão meteoro o planeta começar o surgir afinal o capaz causar impactar mundo d ânimo cristão aflorar o presentar notícia o setor rastreamento nasa declarar haver asteroide metro diâmetro e milhão tonelada percorrer trajeto o terra datar previsto o dia outubro o riscar catástrofe o chance atingir crosta terrestre pequeno casar o asteroide sair roto e conseguir adentrar planeta forçar destruição igual o 2.700 megatrons noção capacidade destrutivo o bomba jogar hiroshima japão possuir tornar o quilotrons,ciência,27/07/2019,"
Carol Lira ",https://www.boatos.org/ciencia/meteoro-terra-destruir-vida-humana-outubro.html
"

PL 3982/2020 prevê prisão para quem se negar a tomar a vacina contra Covid-19 #boato 
",Boato – PL 3982/2020 quer obrigar brasileiros a tomarem a vacina contra Covid-19 e prevê detenção e multa para quem se negar a tomar a imunização.,“ grave câmara votar pl3982/2020 “ disfarçadamente ” obrigar o tomar o vacinar covid cumprir incorrer crime tipificar artigo código penal peno – detenção o ano e multar pl dep wolney queiroz pdt-pe aceitar absurdo pl3982jamais entrar site câmara e votar e pressionar deputar ” “ o câmara federal votar o pl 3982/ obrigar o vacinação peno incorrer crime aceitar ” “ pl 3982/2020 andamento obrigar o vacinar peno reclusão inacreditável ”,saúde,02/09/2020,"
Kyene Becker ",https://www.boatos.org/saude/pl-3982-2020-prisao-quem-negar-tomar-vacina-covid-19.html
tse censurar o whatsapp parir impedir denúncia sobrar o urna eletrônica,,conferir abaixar o texto circular,política,1/10/20207,marco faustino,https://www.e-farsas.com/tse-censurou-o-whatsapp-para-impedir-denuncias-sobre-a-urna-eletronica.html
"

Caminhoneiros estão indo de São Paulo a Brasília para destituir os três poderes #boato 
","Boato – Às vésperas da manifestação a favor de Bolsonaro, caminhoneiros estão “quebrando o pau em São Paulo” e indo para Brasília destituir os três poderes e começar a intervenção militar.",o pau quebrar paulo mostrar o mandar brasil e político mero representante(pessoas filmar olhar mãe olhar filhar liderança capital interlocutor unatrans representar o caminhoneiro brasileiro transportador rodoviário carga brio sangue parar paulo e parar o brasil e brasília pra destituir corrupto chegar intervenção militar o cansar sustentar corrupto chegar pedir empregar procurar empregar patriota,brasil,24/05/2019,"
Edgard Matsuki ",https://www.boatos.org/brasil/caminhoneiros-indo-sao-paulo-brasilia.html
"

Teste de anticorpos feito por engenheiro após se vacinar prova que Coronavac não imuniza #boato 
",Boato – Teste sorológico de anticorpos feito por engenheiro comprova que a vacina Coronavac não gerou imunidade contra a Covid-19 após duas doses. ,“ pessoal senhor engenheiro e esposo tomar dose vacinar coronavac e dia exame laboratório fleury adquirir imunidade o vírus o o áudio falir o nome d e esposo ouvir atenção o mensagem … ”,saúde,17/05/2021,"
Kyene Becker ",https://www.boatos.org/saude/teste-feito-engenheiro-apos-vacinar-prova-coronavac-nao-imuniza.html
"

Light vai desligar energia elétrica no Rio de Janeiro na hora da final da Libertadores em 23/11 #boato 
",Boato – A Light enviou um comunicado informando que fará uma manutenção no dia 23 de novembro de 2019. A luz será desligada em todo Rio de Janeiro no horário da final da Libertadores entre Flamengo e River Plate.,o light – rj informar virtude trabalhar manutenção redar elétrica o energia desligar sábado 23/11/2019 o rir e região o 16:00hrs voltar o o normal 20:00 hrs desejar o consumidor excelente quinta-feira o light trabalhar população,entretenimento,22/11/2019,"
Edgard Matsuki ",https://www.boatos.org/esporte/light-desligar-energia-eletrica-rio-de-janeiro-23-11-final-libertadores.html
"

Gerson Camarotti pediu cassação do registro de médicos que receitam “antivirais” contra Covid-19 #boato 
","Boato – O jornalista Gerson Camarotti, da Globo News, pediu para que os conselhos de medicina cassem do registro de médicos que receitam “antivirais” contra a Covid-19.",safar pedir tirar crms médico salvar vidar fdp globo o gerson camarotti bocar maldita“preciso deixar registrar programar “ pautar ” d noite o jornalista gérson camarotti globo news exigir medicinar cassar registro médico tratar paciente covid drogar antiviral curar haver ano pediatro nitazoxanida vermífugo tratar diarréias rotavírus ação antiviral e êste ano trabalho provar inibir o entrar vírus covid célula humano antiviral hiv apesar curar o aids médico charlatães e jornalista globo news ordem federal medicinar médico continuar o tratar sintomaticamente virose reduzir o carga viral organismo drogar e atar político bolsonarista camarotti e atar médico!acredito charlatão cassar o registrar enquadrar jornalista pago franco atirador fake news e influenciar politicamente massa mídia s vacinar veicular barbaridade fakes o governar dirigir anvisa e laboratório o intenção globo o governar bode expiatório colocar o méxico acima brasil “ vacinar ” apesar fase voluntário e o brasil terminar o fase semana voluntário …,saúde,08/01/2021,"
Edgard Matsuki ",https://www.boatos.org/saude/gerson-camarotti-pediu-cassacao-registro-medicos-receitam-antivirais-contra-covid-19.html
"

Doria prorroga o lockdown até o dia 22 de abril de 2021 em São Paulo #boato 
","Boato – O governador de São Paulo, João Doria, anunciou que prorrogou o lockdown em São Paulo. Agora, quarentena vai de 8 a 22 de abril de 2021.",versão doria prorrogar quarentenar dia abril sp o governador paulo joão doria ampliar o quarentenar o d quarta-feira 8) o dia abril o medir seguir flexibilização e tomar conter o avançar coronavírus o determinação publicar diário oficial d terça-feira 7).transcrição e querer n o deixar claro o opinião público e o população estadode paulo o prorrogação quarentenar feito paulo dia dia o dia e abril voltar o repetir o quarentenar prosseguir o deabril dia o paulo conjuntar razão largamente exposto cientista médico e especialista,política,08/04/2021,"
Edgard Matsuki ",https://www.boatos.org/politica/doria-prorroga-lockdown-dia-22-abril-2021-sao-paulo.html
"

Governo de Pernambuco comprou 140 Jeep Renegade sem licitação para fazer bloqueios de quarentena #boato 
","Boato – O governo de Pernambuco fez a compra, sem licitação, de 140 Jeep Renegade para fazer bloqueios durante a quarentena do novo coronavírus. Compra foi feita no grupo Schwambach (Fiori).",o schwambach fiori vender jeep renegade licitação pra bloqueio quarentenar … esquematizar licitação … absurdo olhar carretar carro adesivado o secretário desenvolvimento economico brunir schwambach,política,14/05/2020,"
Edgard Matsuki ",https://www.boatos.org/politica/governo-pernambuco-comprou-140-jeep-renegade-sem-licitacao-bloqueios-quarentena.html
É #FAKE que chá de boldo combate a Covid-19 em três horas,"Especialistas explicam que chás hidratam e aliviam sintomas em casos leves, mas não são eficazes contra o vírus.",circular rede social mensagem o chá boldo combater o covid-19 horar haver estudar científico sustentar tesar medicamento ministrar pontual e experimental ambientar hospitalar paciente internar resultar promissor o coronavírus o chá boldo d chá alívio quadro leve doença acontecer infecção respiratório efeito terapêutico preventivo acordar médico entrevistar cbn,ciência, 15/05/2020," Por Roberta Pennafort, CBN ",https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2020/05/15/e-fake-que-cha-de-boldo-combate-a-covid-19-em-tres-horas.ghtml
"
  Foto de multidão é de protesto contra armas de fogo em 2018, não de ato a favor de Trump","Uma imagem de uma multidão em Washington foi compartilhada centenas de vezes em redes sociais desde meados de dezembro como se mostrasse um protesto ao redor da Suprema Corte dos Estados Unidos exigindo um resultado “justo” para a eleição presidencial, vencida pelo democrata Joe Biden. Isso é falso. A imagem data, na verdade, de março de 2018 e foi feita durante um protesto contra armas de fogo, desencadeado por um massacre ocorrido em uma escola na Flórida um mês antes.Envie-nos por WhatsApp Email",“ milhar norte-americanos variar raça origem e localidade cercar o prédio supremo cortar capital país washington d.c pressionar resultar justar detalhar armar ” o texto acompanhar postagens compartilhar facebook twitter e instagram o dia dezembro “ o multidão americano cercar o stf … o ” escrever usuário o o compartilhar o imagem dia colégio eleitoral reunir formalizar o resultar eleição novembro encontrar confirmar o vitória democrata joe biden o atual presidente donald trump o conteúdo compartilhar tambémem inglês- reflete o retórico empregar trump serecusavaa reconhecer derrotar afirmar querecorreria supremo cortepara provar vencer eleição recurso aliar presidente sidonegadospelo tribunal,política,17/12/2020 às 19:23,AFP Brasil,https://checamos.afp.com//foto-de-multidao-e-de-protesto-contra-armas-de-fogo-em-2018-nao-de-ato-favor-de-trump
"
  Mortes por covid-19 não caíram “99,99%” no Amazonas após visita do ministro da Saúde","Publicações compartilhadas milhares de vezes em redes sociais desde o início de fevereiro asseguram que o número de mortes por covid-19 no Amazonas caiu em “99,99%” imediatamente após o ministro da Saúde, Eduardo Pazuello, visitar a capital do estado, Manaus. Isso é falso. Na verdade, a média de óbitos registrados por dia no Amazonas desde que Pazuello voltou da região, em 29 de janeiro, é superior à das primeiras semanas do ano, quando o estado começou a enfrentar uma dura segunda onda da pandemia de coronavírus.Envie-nos por WhatsApp Email","“ bomba o governar manaus o dia morrer pessoa amazona bolsonaro mandar o ministrar saudar manaus visitar hospital morrer pessoa covid-19 e hoje morrer pessoa covid-19 ” comedir o texto compartilhar facebook e twitter o o fevereiro “ bolsonaro olhar safadesa governador comunista dia haver redução 99,99 morte amazona pq ” continuar o mensagem começar o circular pazuello visitar manaus e janeiro lidar o colapso saudar cidade o início ano aumentar caso coronavírus sobrecarregar o redar hospitalar amazona e praticamente esgotar reservar oxigênio o tornar o brasileiro morte acumular proporcionalmente",brasil,11/02/2021 às 21:21,AFP Brasil,https://checamos.afp.com//mortes-por-covid-19-nao-cairam-9999-no-amazonas-apos-visita-do-ministro-da-saude
"

Cientistas descobrem que cocaína mata o coronavírus #boato 
",Boato – Cientistas de todo o mundo estão chocados com uma descoberta. A cocaína mata o coronavírus e isso já foi noticiado.,especialista afirmar eficaz o drogar cocaina pó o tratamento coronavírus realmente verdade crer lutar legalização cocaina drogar lícito conseguir cocaína matar o coronavírus enviar mensagem salvar traduzir “ cocaína matar corona virus inbox si quieres salvar ” notícia urgente cocaína matar o coronavírus cientista chocar o o descobrir o drogar combater o vírus traduzir “ breaking news cocaine kills corona virus scientists is shocked to discover that this drug can fight the virus ”,saúde,05/02/2020,"
Edgard Matsuki ",https://www.boatos.org/saude/cientistas-descobrem-cocaina-mata-coronavirus.html
verdade umar mulher morte cerebral ingerir litro molhar soja,"no primeiro dia deste ano, o site mega curioso publicou uma notícia muito curiosa, intitulada: “mulher tem morte cerebral após ingerir 1 litro de molho de soja“. contudo, será que esse caso realmente aconteceu? e se aconteceu, será que a mulher realmente morreu?",o texto publicar mega curioso praticamente resumir publicar fonte originar o texto o tabloide britânico “ daily mail ” dm apesar melhor parente nefasto daily express daily mirror e daily record passível verificação prévio repassar o publicar o dm basear texto vídeo youtube canal chamar “ chubbyemu “ publicar dia dezembro o canal pertencer o homem chamar bernard alegar professor clínico adjunto universidade illinois eua,saúde,7/01/20197,marco faustino,https://www.e-farsas.com/sera-verdade-que-uma-mulher-teve-morte-cerebral-apos-ingerir-1-litro-de-molho-de-soja.html
"

Talibã (Estado Islâmico) faz leilão de meninas cristãs no Afeganistão, mostra foto #boato 
","Talibã (Estado Islâmico) faz leilão de meninas cristãs no Afeganistão, mostra foto #boato",e gente comemorar o soldar deixar o talibã ai triste e desumano mundo perder o século xxi viver atrocidade d natureza o grupar islâmico talibã leilão menino praça público e levar pago o homem o comprar parir umar família e lar parir realizar o s e descarta-las comer lixar humanar o mundo preciso manifestar revolto o tribunal direito humano corte internacional direito humano o onu o otan e outro organismo defeso dignidade humano revoltante islâmico leiloar menino cristăs parir satisfação sexual homem valer ressaltar satisfazer o direito o quizer decapitá-las procurar pai leiloar pelar melhor ofertar o islamico permitir pedir compartilhar o mundo preciso d,entretenimento,23/08/2021,"
Edgard Matsuki ",https://www.boatos.org/religiao/taliba-estado-islamico-faz-leilao-de-meninas-cristas-no-afeganistao-foto.html
"

Reitor da UFRJ está foragido após roubar R$ 43 milhões e deixar museu pegar fogo #boato 
","Boato – O reitor da UFRJ Carlos Antônio Levi da Conceição, que disse que a direita precisava de um bom murro e uma boa bala, está foragido após roubar R$ 43 milhões.",lembrar reitor ufrj o merecer “ murro e balir ” e deixar o museu nacional fogo foragir .o carlos antônio levi conceição roubar milhão real … e o universidade federal rj entregar mosco destruir … e o museu morto entender lixo o governar bolsonaro continuar,brasil,12/05/2021,"
Edgard Matsuki ",https://www.boatos.org/brasil/reitor-ufrj-foragido-apos-roubar-r-43-milhoes-deixar-museu-pegar-fogo.html
"
  Esta mulher foi presa por discutir com funcionários e o vídeo mostra dois incidentes diferentes ","Um vídeo, visualizado centenas de milhares de vezes em redes sociais desde o final de março, supostamente mostra uma mulher contaminada com coronavírus sendo detida pela polícia australiana após ser vista cuspindo sobre produtos em um mercado. No entanto, a gravação viralizada reúne imagens de dois incidentes diferentes, envolvendo mulheres distintas.Envie-nos por WhatsApp Email",“ o covid-19 terrorismo chinês desestabilizar o economia ocidental austrália shopping chinês preso flagrar espirrar cuspir banana e comido o interessar espalhar o coronavirus ” questionar publicação compartilhar centena facebook o dia março o texto acompanhar vídeo início mulher máscara detido polícia supermercado mensagem inglês sobreposto “ nojento testar positivar covid-19 e preso cuspir frutar ” o gravação amplamente compartilhar facebook mostrar o supor o mulher cuspir produto mercar outro texto sobrepor s imagem o vídeo gravar “ woolworths ” chullora loja localizar periferia sidney austrália,saúde,13/04/2020 às 20:39,"AFP Austrália, AFP Brasil, Bruno Scelza",https://checamos.afp.com//esta-mulher-foi-presa-por-discutir-com-funcionarios-e-o-video-mostra-dois-incidentes-diferentes
É #FAKE que imagem mostre ministra da Holanda e que ela trabalhe de gari duas horas por dia antes de ir ao escritório,"Foto que circula em redes sociais mostra, na verdade, uma ministra da Alemanha. Ela se vestiu e atuou como gari apenas para comemorar o Dia da Mulher. Ministro da Saúde da Holanda é homem.",circular rede social foto mulher uniformar gari trabalhar coleta lixar legendar acompanhar o imagem holanda o ministro saudar trabalhar horar diariamente agente limpeza o o escritório o cargo ministrar saudar bem-estar e esporte holanda ocupar homem hugo jonge o mulher aparecer foto verdade franziska giffey ministro família idoso mulher e juventude alemanha o imagem feito março s véspera dia mulher,mundo, 17/10/2019, Por G1 ,https://g1.globo.com/fato-ou-fake/noticia/2019/10/17/e-fake-que-imagem-mostre-ministra-da-holanda-e-que-ela-trabalhe-de-gari-duas-horas-por-dia-antes-de-ir-ao-escritorio.ghtml
É #FAKE que vídeo em que soldado filma carro explodindo durante selfie tenha sido feito no Irã,"Vídeo, antigo, mostra explosão ocorrida na Síria. Imagens não têm nenhuma relação com a crise atual entre os Estados Unidos e o Irã, iniciada em janeiro.",circular rede social vídeo mostrar o soldar o o selfie acabar registrar o explosão carro militar comboiar mensagem circular web tratar episódio ocorrer irã viver crise unir o atacar ordenar trump matar o general iraniano qassem soleimani chefe unidade especial guardar revolucionário e homem poderoso país texto fake o vídeo antigo e anterior recente crise unir e irã n ano o vídeo registrar sírio acompanhar relato comboiar militar atingir minar terrestre valer deir ezzor,entretenimento, 14/01/2020, Por G1 ,https://g1.globo.com/fato-ou-fake/noticia/2020/01/14/e-fake-que-video-em-que-soldado-filma-carro-explodindo-durante-selfie-tenha-sido-feito-no-ira.ghtml
"
  Não há registro de que Palocci tenha dito que as urnas foram encomendadas para fraudar eleições","Publicações compartilhadas milhares de vezes em redes sociais alguns dias antes do segundo turno das eleições municipais de 2020 asseguram que o ex-ministro dos governos do PT Antônio Palocci afirmou que as urnas eletrônicas foram “encomendadas” para manipular eleições. No entanto, não há qualquer registro público de que Palocci tenha dado tal declaração, nem à mídia, nem na colaboração premiada que firmou no âmbito da Lava Jato. Ao AFP Checamos, o escritório responsável por sua defesa negou que o ex-ministro tenha feito tal denúncia.Envie-nos por WhatsApp Email",“ palocci afirmar eleição decidir cúpula urna encomendar fraudar eleição o o tse ” o texto publicação compartilhar facebook e instagram o dia novembro versão citar o frase “ inúmero ” ex-ministro fazenda governar luiz inácio lula silvar e ex-ministro-chefe casar civil governar dilma rousseff “ trazer doutor urna eletrônicas o brasil o objetivo fraudar eleição benefício esquerdo ” o conteúdo ganhar forçar dia turno eleição municipal novembro candidato esquerdo disputar o prefeitura importante capitar paulo recife e portar alegrar,brasil,27/11/2020 às 17:59,AFP Brasil,https://checamos.afp.com//nao-ha-registro-de-que-palocci-tenha-dito-que-urnas-foram-encomendadas-para-fraudar-eleicoes
"

Lista de lives de artistas de rock para os próximos dias vazou na internet #boato 
","Boato – Finalmente surgiu uma lista de lives de bandas e cantores de rock para os próximos dias. Lista tem shows do Metallica, Arctic Monkeys, Red Hot Chilli Peppers, Pearl Jam, entre outras atrações.",lives rock receber d nenhum link referência pesquisar e encontrar link atualizações pedir conferir casar alguém encontrar link e detalhe pedir partilhar abraçar e lets rock!!!lives 13/04 – metallica instagram – 21h 15/04 – arctic monkeys – 21h30 16/04 – justin pharrell e timbaland – 20hrs 16/04 – fatboy slim – 20:30h 17/04 – futurar islands 19hrs 17/04 – mac demarcar 19hrs 17/04 – king of leon – 20hrs 18/04 – vance joy – 15hrs 18/04 – father john misty – 16hrs 18/04 – the black keys – 16hrs 18/04 – sheryl crow – 17hrs 18/04 – red hot chilli peppers – 20hrs 18/04 – pearl jam – 21h 18/04 – chet faker – 22hrs 18/04 one world show lady gago elton john eddie veder billie eilish chris martin lizzo keith urban paul mccartney e assistir globalcitizen.org 19/04 – charlar bradley – 16hrs 19/04 – the weeknd – 18hrs 20/04 – erykah badu – 20h 20/04 – grizzly bear – 20hrs 20/04 – khruangbin – 20hrs 20/04 – john mayer – 21hrs 21/04 – joss stone – 16hrs 21/04 – maroon – 18hrs 21/04 – dave matthews band – 19hrs 22/04 – daft punk 24/04 – ben harper e jack johnson – 21hrs 25/04 – john butler trio – 17hrs 25/04 – alabama shakes – 20hrs 25/04 – lenny kravitz – 20hrs 26/04 – harry styles – 16hrs 26/04 – paul mccartney – 18hrs 30/04 – coldplay aproveitar galera rock,entretenimento,13/04/2020,"
Edgard Matsuki ",https://www.boatos.org/entretenimento/lista-lives-artistas-rock-proximos-dias-vazou-internet.html
É #FAKE que pai de Guilherme Boulos seja dono de mansão desocupada na Vila Mariana,"Antigo proprietário tem sobrenome Boulos, mas não está relacionado à família do candidato. Boato circulou também em 2018.",publicação rede social afirmar o pai candidatar prefeitura paulo guilherme boulos o infectologista marco boulos dono mansão desocupar vila mariano paulo o post atribuir o o infectologista casar ruir paula ney vila mariano o casar demolir verificar histórico google street view n endereçar atualmente haver casar e o empreendimento imobiliário haus mitrar boatar circular e desmentir diverso agência checagem época o agência público acesso o o registrar propriedade imóvel nome casal libanês philippe boulos e mono boulos o morte passar o herdeiro casal seme felipe e kátia boulos apesar o sobrenome nenhum d o família candidatar guilherme boulos afirmar vídeo,política, 29/11/2020," Por Isabela Aleixo, O Globo ",https://g1.globo.com/fato-ou-fake/noticia/2020/11/29/e-fake-que-pai-de-guilherme-boulos-seja-dono-de-mansao-desocupada-na-vila-mariana.ghtml
"

Paul McCartney morreu e foi substituído por sósia #boato 
","Boato – Ringo Starr, ex-baterista dos Beatles, revelou que Paul McCartney morreu em 1969 e foi substituído por um sósia.",ringo star afirmar paul mccartney morrer e substituir sósia,entretenimento,,"
Edgard Matsuki ",https://www.boatos.org/entretenimento/paul-mccartney-morreu-substituido.html
"

Papa Francisco disse “estou vacinado com sangue de Cristo” em oração #boato 
",Boato – O papa Francisco pediu a todos que repitam esta oração “estou vacinado com o sangue de Cristo: nenhum vírus pode tocar-me”.,o santo papar francisco pedir o repetir oração mentir “ vacinar o sangue cristo nenhum vírus tocar- ” compartilhar,entretenimento,08/03/2021,"
Edgard Matsuki ",https://www.boatos.org/religiao/papa-francisco-estou-vacinado-com-sangue-cristo-oracao.html
"

Termômetro infravermelho causa dano à glândula pineal ao medir temperatura na testa #boato 
","Boato – O termômetro infravermelho pode causar danos à glândula pineal ao medir a temperatura na testa e trazer problemas de saúde. Por isso, não deixe as pessoas medirem a sua temperatura. ",deixar medir temperatura testo ler mensagem enfermeiro australiano “ realmente preocupar começar o implementar protocolo e tarefar medir o temperatura pessoa o centrar testo armar termômetro puxar o gatilho esperar bipe e registrar o temperatura pedir desculpar pessoa prosseguir dúzia repente percepção dessensibilizar o o direcionarmos cabeça e causar problema saudar potenciar o o raiar infravermelho o glândula pineal começar o medir o temperatura pulsar acabar preciso o testo frio o pulsar e resultar diferir grau caso o shopping center e pessoa filar medir o temperatura funcionário obviamente médico e devidamente instruir realizar procedimento corretamente ficar chocar chegar o e o armar testo e o redirecionei punho falar firmeza e o o funcionário termômetro infravermelho o testo alguém especialmente bebês e criança pequeno d requerer conhecimento básico ler corretamente o temperatura alguém colocar termômetro punho cotovelar precisar e prejudicial perturbador mim observar criança acostumar o objeto armar o testo e reação negativo adulto normal e aceitável profissional médico recuso-me o visar diretamente o glândula pineal localizar diretamente centrar testo raiar infravermelho entanto o pessoa concordar passar o o dia glândula pineal protegido crucial saudar e futurar ”,saúde,13/08/2020,"
Raiane Gonoli ",https://www.boatos.org/saude/termometro-infravermelho-dano-glandula-pineal-medir-temperatura-testa.html
"

Vídeo mostra Venezuela em guerra civil no ano de 2021 #boato 
",Boato – Vídeo de 2021 mostra que a Venezuela está em guerra civil. A esquerda brasileira não fala nada e grande imprensa não divulga.,o venezuela guerra civil o direito saudar e fome aguentar nenhum esquerdo o imprensar divulgar o socialismo comunismo pensar voce filho neto e bisneto acontecimento mostrar o brasil caminhar rumar cubar e venezuela refletir e mudar.observem o canhão água preceder motociclista responsável abater pessoa observar armar fogo mão manifestante entanto recuar e atacar coquetéis molotov achar criativo memes e piar venezuela 🇻 🇪 guerra civil palavra esquerdo brasileiro especialmente pt psol e pdt,mundo,27/03/2021,"
Edgard Matsuki ",https://www.boatos.org/mundo/video-mostra-venezuela-guerra-civil-2021.html
"

Paula Rousseff, filha de Dilma, será condenada na Justiça Federal #boato 
","Boato – Filha da ex-presidente Dilma Rousseff, Paula Rousseff vai ser condenada na Justiça Federal por usar carros oficiais blindados (com motoristas e seguranças) para realizar atividades diárias.",“ … dilma rousseff conseguir explicar vantagem pago dinheiro público família semana passar dilma rousseff noto imprensar procurar explicar regalia ilegal dinheiro público privilegiar filho genro e neto mostrar reportagem publicar istoé privilégio concedido família petista alvo investigação pedir dem o solicitar o o ministério público e o o gabinete segurança institucional gsi apurar liberar suaa últim edição istoé revelar paula rousseff filho ex-presidente e rafael covolo maridar disposição frota carro oficiar representação blindar e autorizar o circular placar frio e staff formar profissional motorista e segurança … ”,política,,"
Kyene Becker ",https://www.boatos.org/politica/paula-rousseff-filha-dilma-condenada.html
"

Coca-Cola está dando frigobar para quem entrar em site e compartilhar link no WhatsApp #boato 
",Boato – Coca-Cola está dando um frigobar grátis para as pessoas que entrarem em um site e compartilharem um link com amigos no WhatsApp.,conquistar frigobar coca-cola clicar “ ” e seguir instrução restar frigobaresenviar responder o perguntar – coca-cola preferir normal light responder o perguntar – colocar frigobar cozinhar responder o perguntar – criar o bebido coca-cola farmácia oficinaseu frigobar exclusivo coca-cola ja pronto enviar seguir indicação compartilhar ofertar con contatos e whatsapp completar o barrir inferior compartilhar enviar frigobar coca-cola dia 0%100,entretenimento,02/07/2020,"
Edgard Matsuki ",https://www.boatos.org/tecnologia/coca-cola-dando-frigobar-entrar-site-compartilhar-link-whatsapp.html
"

Mobilização do dia 15/03 na internet deixa poderosos do Congresso e Judiciário preocupados #boato 
",Boato – Uma mobilização está tomando vulto na internet e poderosos do Congresso e Judiciário já estão preocupadíssimos com o dia 15/03.,mobilização tomar vulto internet 15/03 poderoso congresso e judiciário preocupado mobilização comedir o tomar vulto internet o anteceder o revolução francês o esclarecer clamar justiçar haver enorme movimentação internet reunir milhão pessoa avenida paulista e capitar demissão o classe político legislativa(congresso nacional e judiciária(stf dia 15/03 e-mail convocação começar o circular e lidar centena milhar pessoa importante repassar contatos o guerra o mau político e juiz e o degradação nação começar subestimar o esclarecer comedir o sair inércia e zonar confortar lutar brasil melhor fato ” governante ” brasil falir corte despesa – cortar despesa – o aumento imposto o campeão mundial imposto o história mostrar governante cair e perder cabeça exatamente nenhum governante falir reduzir mordomia gabinete secretário adjunto assessorar suporte burocrático respectivo carro motorista 14º e 15º salário etc repúblico redução deputar federar estadual e senador e gabinete profissionalizando-os país sério acabar mordomia câmara senado judiciário e ministério almoço opíparo digestivo e libação acabar centena instituto público e fundação público servir e funcionário e administrador 2º e 3º … escalão empregar redução drástico quantidade vereador e redução salário vereador diminuir gasto câmara municipal e assembleia estadual acabar o financiamento o viver quotização associar e imaginação o exigir conseguir verba atividades aliás o suficiente acabar o distribuição carro o presidente assessorar etc câmara junto etc acabar motorista particular h dia o agravamento horar extraordinário servir excelência filho e família e ex-famílias acabar o renovação sistemático frota carro colocar chapar identificação carro permitir modo algum carro oficiar serviço particular levar e trazer familiar e filho s escola o o mercar o comprar etc levantamento e minucioso ocupar cargo político central e o o real patrimônio governante político e judiciário corrupto urgência reformar necessário e manter preso corrupto condenar passar o brasil o limpar caber o esclarecer mobilização massa e ruir vandalismo black blocs o sociedade manifestar o insatisfação junto mostrar brasil o esclarecer realmente mudar o rumar história urna difícil motivo óbvio encaminhar mensagem contatos cair computador político votar eleição,política,,"
Edgard Matsuki ",https://www.boatos.org/politica/mobilizacao-dia-15-03-internet-deixa-poderosos-congresso-judiciario-preocupados.html
"

Jô Soares revela os podres da TV Globo em vídeo de 2019 #boato 
",Boato – Vídeo mostra Jô Soares falando que TV Globo mantém lista negra de artistas proibidos de aparecer em comerciais em 2019. ,“ jô soar revelar podre globo … ” “ jô soar revelar podre redar globo o apresentador revelar o o globolixo funcionário ” “ jô soar manifesto mostrar podre globo apesar verdade dever desmascarar o caro escondido ” “ deus … conhecer o globo acabar conhecê-la ”,entretenimento,29/11/2019,"
Kyene Becker ",https://www.boatos.org/entretenimento/jo-soares-podres-tv-globo-video-2019.html
